representation,method,candidate_id,parameters,seed,n_samples,n_clusters,n_clusters_including_noise,n_noise,noise_fraction,largest_non_noise_cluster_share,internal_valid,silhouette,davies_bouldin,calinski_harabasz,runtime_seconds,cluster_sizes,n_clusters_excluding_noise,selection,deployment_acceptable,selection_status,scenario_type,scenario_id,included_features,dropped_features,n_features,ari_vs_compact_deployment,ari_vs_rich_deployment
drop_feature_cart_per_view,classix,classix_r1.15_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.15,""sorting"":""pca""}",,11719,2,2,0,0.0,0.9999146684870722,True,0.7414364628859471,0.17936364684688702,23.10446058201946,0.021427083003800362,"{""0"":11718,""1"":1}",2,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_cart_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""cart_per_view""]",11,0.0015390746629287398,0.0012301416038587951
drop_feature_cart_per_view,classix,classix_r0.60_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.6,""sorting"":""pca""}",,11719,4,5,518,0.04420172369656114,0.896348540308901,True,0.334187494028469,0.732202543950337,945.9879325402313,8.207552084000781,"{""-1"":518,""998"":10,""1254"":13,""1325"":10040,""1328"":1138}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_cart_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""cart_per_view""]",11,0.20172736622546414,0.8535553547621957
drop_feature_cart_per_view,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.581704923628296,True,0.38270317658986946,0.9786173386305796,4564.435122142025,0.1734577919705771,"{""0"":6817,""1"":166,""2"":3580,""3"":1156}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_cart_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""cart_per_view""]",11,0.015897215038118917,0.9741073793673082
drop_feature_cart_per_view,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.581704923628296,True,0.38270317658986946,0.9786173386305796,4564.435122142025,0.1734577919705771,"{""0"":6817,""1"":166,""2"":3580,""3"":1156}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_cart_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""cart_per_view""]",11,0.015897215038118917,0.9741073793673082
drop_feature_transaction_per_view,classix,classix_r1.60_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.6,""sorting"":""pca""}",,11719,3,3,0,0.0,0.9995733424353613,True,0.7972977531487305,0.2065980411114543,123.8189482592345,0.01612541702343151,"{""0"":3,""1"":11714,""2"":2}",3,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_transaction_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""transaction_per_view""]",11,0.004297605012039558,0.006139838644737068
drop_feature_transaction_per_view,classix,classix_r0.65_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.65,""sorting"":""pca""}",,11719,4,5,494,0.04215376738629576,0.8963028953229398,True,0.3280514389873028,0.8360934125990286,842.4301725576881,4.357397584011778,"{""-1"":494,""1211"":13,""1283"":10061,""1284"":1135,""1287"":16}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_transaction_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""transaction_per_view""]",11,0.19281465914720003,0.8727630299098285
drop_feature_transaction_per_view,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.586654151378104,True,0.38285698622475306,0.9813432679697146,4440.364535296127,0.2860922089894302,"{""0"":6875,""1"":3523,""2"":165,""3"":1156}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_transaction_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""transaction_per_view""]",11,0.016836609645336845,0.9566053181436005
drop_feature_transaction_per_view,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.586654151378104,True,0.38285698622475306,0.9813432679697146,4440.364535296127,0.2860922089894302,"{""0"":6875,""1"":3523,""2"":165,""3"":1156}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_transaction_per_view,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""transaction_per_view""]",11,0.016836609645336845,0.9566053181436005
drop_feature_activity_span_days,classix,classix_r1.55_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.55,""sorting"":""pca""}",,11719,3,3,0,0.0,0.9995733424353613,True,0.8048368961467124,0.24362033900451388,127.08016327778422,0.012420041020959616,"{""0"":3,""1"":11714,""2"":2}",3,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_activity_span_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""activity_span_days""]",11,0.004297605012039558,0.006139838644737068
drop_feature_activity_span_days,classix,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",,11719,3,4,221,0.01885826435702705,0.9000695773177944,True,0.3051045885498194,0.8680900776680526,1080.4982301515465,3.9693522080197,"{""-1"":221,""587"":14,""691"":1135,""698"":10349}",3,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_activity_span_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""activity_span_days""]",11,0.0510664184366487,0.9636098717148334
drop_feature_activity_span_days,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5463776772762181,True,0.32102322164485175,1.1036186777109758,3627.7399064037977,0.146316584025044,"{""0"":1161,""1"":6403,""2"":3989,""3"":166}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_activity_span_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""activity_span_days""]",11,0.01303953920896734,0.8736384842198252
drop_feature_activity_span_days,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5463776772762181,True,0.32102322164485175,1.1036186777109758,3627.7399064037977,0.146316584025044,"{""0"":1161,""1"":6403,""2"":3989,""3"":166}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_activity_span_days,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""activity_span_days""]",11,0.01303953920896734,0.8736384842198252
drop_feature_mean_interevent_hours,classix,classix_r1.55_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.55,""sorting"":""pca""}",,11719,3,3,0,0.0,0.9995733424353613,True,0.8060259848789821,0.2425916760259368,127.74179814741423,0.015534041973296553,"{""0"":3,""1"":11714,""2"":2}",3,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_mean_interevent_hours,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""mean_interevent_hours""]",11,0.004297605012039558,0.006139838644737068
drop_feature_mean_interevent_hours,classix,classix_r0.90_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.9,""sorting"":""pca""}",,11719,3,4,123,0.010495776090110077,0.897982062780269,True,0.31361190398203886,0.8198897856873089,1639.828203653055,0.7025402499712072,"{""-1"":123,""392"":33,""456"":10413,""459"":1150}",3,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_mean_interevent_hours,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""mean_interevent_hours""]",11,0.036522982378005754,0.9602753504694665
drop_feature_mean_interevent_hours,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.598685894700913,True,0.3354782225941458,1.0636660958300497,3770.0415173326264,0.10902237502159551,"{""0"":7016,""1"":148,""2"":3396,""3"":1159}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_mean_interevent_hours,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""mean_interevent_hours""]",11,0.0238490824144508,0.8550179402457353
drop_feature_mean_interevent_hours,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.598685894700913,True,0.3354782225941458,1.0636660958300497,3770.0415173326264,0.10902237502159551,"{""0"":7016,""1"":148,""2"":3396,""3"":1159}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_mean_interevent_hours,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""mean_interevent_hours""]",11,0.0238490824144508,0.8550179402457353
