algorithm,representation,selection,candidate_id,parameters,sigma,seed,n_clusters,largest_non_noise_cluster_share,silhouette,davies_bouldin,calinski_harabasz,ari,stability_ari,n_noise,noise_fraction
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260809,2,0.9092926017578291,0.5947433120078172,1.0572413145537674,4285.381846938452,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.001,20260810,2,0.9092926017578291,0.5947410332252938,1.0572312083899484,4285.405282087832,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260801,2,0.9093779332707569,0.5943500161089481,1.0571440151644118,4275.312371900047,0.9993803546139021,0.9993803546139021,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260802,2,0.9092926017578291,0.5946342287694781,1.057137670677711,4286.841180036276,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260803,3,0.9092926017578291,0.5322689507812535,0.8455015754826557,5590.255797551221,0.9955248565272808,0.9955248565272808,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260804,2,0.9092926017578291,0.5945656989096711,1.0573759105950975,4284.782424279985,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260805,2,0.9092926017578291,0.5945327134567067,1.0573758774056627,4284.018951686502,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260806,2,0.9093779332707569,0.5942838752826525,1.057067683958368,4275.149496406189,0.9993803546139021,0.9993803546139021,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260807,2,0.9092926017578291,0.5944888052259594,1.0574212247242043,4283.638109120675,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260808,3,0.9092926017578291,0.5323882929090531,0.8457065076751972,5592.767390048302,0.9955248565272808,0.9955248565272808,0,0.0
