comparison,method,parameter_key,parameter_value,k,left_representation,right_representation,n_samples,ari,nmi,vi,availability
fixed_classix_parameter,classix,candidate_id,classix_r0.85_m5_density,,compact,rich,11719,-0.005643105756791199,0.04539976486772799,1.0888621777319762,
fixed_classix_parameter,classix,candidate_id,classix_r0.85_m5_distance,,compact,rich,11719,-0.029799495659316628,0.003765166844651363,0.6627593866245619,
fixed_classix_parameter,classix,candidate_id,classix_r0.90_m10_density,,compact,rich,11719,-0.010267380003075567,0.042155920624022764,1.0815237868521796,
fixed_classix_parameter,classix,candidate_id,classix_r0.90_m10_distance,,compact,rich,11719,0.0,0.0,0.32433886432824766,
fixed_classix_parameter,classix,candidate_id,classix_r0.90_m1_density,,compact,rich,11719,-0.010007404629853518,0.08154148915562985,1.0947782239630197,
fixed_classix_parameter,classix,candidate_id,classix_r0.90_m1_distance,,compact,rich,11719,0.012351508223243043,0.02713693328744727,0.3486409457207317,
fixed_classix_parameter,classix,candidate_id,classix_r0.90_m5_density,,compact,rich,11719,-0.010184850530083391,0.046598406039429406,1.0899954471420485,
fixed_classix_parameter,classix,candidate_id,classix_r0.90_m5_distance,,compact,rich,11719,0.0,0.0,0.32433886432824766,
fixed_classix_parameter,classix,candidate_id,classix_r0.95_m10_density,,compact,rich,11719,-0.01882226113013851,0.03263790346070811,1.0834530966842177,
fixed_classix_parameter,classix,candidate_id,classix_r0.95_m10_distance,,compact,rich,11719,0.0,0.0,0.30417143654344014,
fixed_classix_parameter,classix,candidate_id,classix_r0.95_m1_density,,compact,rich,11719,-0.018660940516722936,0.06201242839928938,1.0983523731808127,
fixed_classix_parameter,classix,candidate_id,classix_r0.95_m1_distance,,compact,rich,11719,0.01119194627224842,0.023245012417847807,0.33104341401219517,
fixed_classix_parameter,classix,candidate_id,classix_r0.95_m5_density,,compact,rich,11719,-0.018762095363156508,0.03721249657522393,1.0897681505448493,
fixed_classix_parameter,classix,candidate_id,classix_r0.95_m5_distance,,compact,rich,11719,0.0,0.0,0.30417143654344014,
fixed_classix_parameter,classix,candidate_id,classix_r1.00_m10_density,,compact,rich,11719,-0.024584547557873884,0.029342033488717265,1.080178735690076,
fixed_classix_parameter,classix,candidate_id,classix_r1.00_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.00_m1_density,,compact,rich,11719,-0.024452536145472163,0.05588952162562019,1.0920789903139325,
fixed_classix_parameter,classix,candidate_id,classix_r1.00_m1_distance,,compact,rich,11719,-0.001486111722342216,0.0001500832077061964,0.031289152157962206,
fixed_classix_parameter,classix,candidate_id,classix_r1.00_m5_density,,compact,rich,11719,-0.02453749685667999,0.03352445388674282,1.0851470355647097,
fixed_classix_parameter,classix,candidate_id,classix_r1.00_m5_distance,,compact,rich,11719,0.0,0.0,0.003737228203642106,
fixed_classix_parameter,classix,candidate_id,classix_r1.05_m10_density,,compact,rich,11719,-0.032488618980351804,0.024015052212362855,1.0679469217442896,
