representation,summary_level,radius,minPts,group_merging,n_candidates,valid_internal_count,deployment_acceptable_count,mean_silhouette,max_silhouette,noise_fraction_min,noise_fraction_max
rich,radius_marginal,0.5,,,6,6,3,0.07853022669863725,0.2800968645659249,0.0,0.07065449270415565
rich,radius_marginal,0.55,,,6,6,3,0.11066378063260914,0.2619058247266976,0.0,0.054441505247888045
rich,radius_marginal,0.6,,,6,6,3,0.16060633526646392,0.27978154056325705,0.0,0.042495093438006656
rich,radius_marginal,0.65,,,6,6,3,0.16255731889550434,0.26770982607812116,0.0,0.03140199675740251
rich,radius_marginal,0.7,,,6,6,4,0.18642693865260843,0.2685406582819091,0.0,0.02457547572318457
rich,radius_marginal,0.75,,,6,6,4,0.2256620070344125,0.2909136336788067,0.0,0.018602269818243877
rich,radius_marginal,0.8,,,6,5,2,0.2892181130449736,0.4779316422474163,0.0,0.015871661404556703
rich,radius_marginal,0.85,,,6,6,4,0.24333598888516225,0.27866334141475346,0.0,0.011434422732315043
rich,radius_marginal,0.9,,,6,4,2,0.26592365906829196,0.3680579033712031,0.0,0.010410444577182354
rich,radius_marginal,0.95,,,6,4,2,0.26830468218147085,0.3676675908422433,0.0,0.008618482805700146
rich,radius_marginal,1.0,,,6,4,2,0.28008877456128606,0.38083468168299967,0.0,0.007594504650567454
rich,radius_marginal,1.05,,,6,4,2,0.30074217443096707,0.43945310273761135,0.0,0.004693233211024831
rich,radius_marginal,1.1,,,6,4,2,0.29153465708491383,0.3938316345451455,0.0,0.002901271439542623
rich,radius_marginal,1.15,,,6,4,2,0.32422150342325984,0.5325527302063024,0.0,0.0029866029524703475
rich,radius_marginal,1.2,,,6,4,2,0.32413891197452865,0.532485763622987,0.0,0.0027306084136871746
rich,radius_marginal,1.25,,,6,4,2,0.32166013931793774,0.532485763622987,0.0,0.00324259749125352
rich,radius_marginal,1.3,,,6,3,0,0.5523285931315144,0.7774779016396889,0.0,0.0023039508490485536
rich,radius_marginal,1.35,,,6,3,0,0.6251427436092203,0.760492207383977,0.0,0.0015359672326990357
rich,radius_marginal,1.4,,,6,2,0,0.5788698163673853,0.7777370803028715,0.0,0.0015359672326990357
rich,radius_marginal,1.45,,,6,3,0,0.6251427436092203,0.760492207383977,0.0,0.0015359672326990357
rich,radius_marginal,1.5,,,6,3,0,0.6271080877450219,0.760492207383977,0.0,0.0011093096680604147
rich,radius_marginal,1.55,,,6,2,0,0.59044080874654,0.7870499829479345,0.0,0.0007679836163495178
rich,radius_marginal,1.6,,,6,2,0,0.6710225013000939,0.7870499829479345,0.0,0.0006826521034217937
rich,radius_marginal,1.65,,,6,2,0,0.6711953778644048,0.7870499829479345,0.0,0.0005973205904940695
rich,radius_marginal,1.7,,,6,2,0,0.6711953778644048,0.7870499829479345,0.0,0.0005973205904940695
rich,radius_marginal,1.75,,,6,2,0,0.6734240281167055,0.7919012072365612,0.0,0.0003413260517108968
rich,minPts_marginal,,1.0,,62,62,0,0.2709360819371746,0.7919012072365612,0.0,0.0
rich,minPts_marginal,,5.0,,62,38,19,0.22796897354509782,0.760492207383977,0.0,0.26384503797252323
rich,minPts_marginal,,10.0,,62,33,27,0.21806106978815118,0.2909136336788067,0.0,0.28679921495008104
rich,merging_marginal,,,density,93,74,28,0.17985327710266832,0.555340772780875,0.0,0.28679921495008104
rich,merging_marginal,,,distance,93,59,18,0.3279276419022047,0.7919012072365612,0.0,0.0
