representation,split_seed,k,train_silhouette,train_dbi,train_ch,selection_scope,selected
compact,20260805,6,0.5076214046337514,0.8180623406981433,8312.596339508103,train_only_label_free,False
compact,20260805,5,0.48373562289260463,0.7397454413669394,8022.572026221193,train_only_label_free,False
rich,20260801,4,0.3518918964354268,1.0381112334884843,3175.2623086932736,train_only_label_free,True
rich,20260801,2,0.3362873524661346,1.334382981397193,3643.8323763168655,train_only_label_free,False
rich,20260801,3,0.32690659499058444,1.1166889720151911,3235.2343222783734,train_only_label_free,False
rich,20260801,5,0.30939464964869706,1.0371022836565997,3164.551698805683,train_only_label_free,False
rich,20260801,6,0.3033048556949012,1.1702320597328135,3049.2356903704217,train_only_label_free,False
rich,20260801,7,0.2866381793771156,1.2236419756027828,2866.512204950815,train_only_label_free,False
rich,20260801,10,0.2733163439271033,1.2202070404647185,2475.643596922712,train_only_label_free,False
rich,20260801,11,0.27330982954337074,1.2246399889592237,2396.4664606757633,train_only_label_free,False
rich,20260801,9,0.2702995757489983,1.2188957028372025,2573.503484203479,train_only_label_free,False
rich,20260801,12,0.26882765111753515,1.2131863690107751,2293.218957846963,train_only_label_free,False
rich,20260801,8,0.26617388476381837,1.2402808231836804,2685.879486599645,train_only_label_free,False
rich,20260802,4,0.34915488653096727,1.0422790859895676,3149.0216445114456,train_only_label_free,True
rich,20260802,2,0.333129136205047,1.3370114097189738,3663.801483448491,train_only_label_free,False
rich,20260802,3,0.32456218118430397,1.1195807311182144,3219.1135774294116,train_only_label_free,False
rich,20260802,5,0.3092738605956957,1.0321037170190341,3154.8098405826113,train_only_label_free,False
rich,20260802,6,0.3006476768834516,1.1821847139784736,3055.5229672926785,train_only_label_free,False
rich,20260802,7,0.28527439406042765,1.2320566659055483,2878.7956460292203,train_only_label_free,False
rich,20260802,10,0.27267431751416243,1.2102250812934658,2454.14156689665,train_only_label_free,False
rich,20260802,11,0.2723996851659254,1.229437774052128,2368.2172801276224,train_only_label_free,False
rich,20260802,9,0.2697153355059501,1.2407470722377614,2556.7488642378935,train_only_label_free,False
rich,20260802,8,0.2665458959611027,1.2357636578770523,2700.006244455529,train_only_label_free,False
rich,20260802,12,0.26444338864277367,1.2530559098881282,2266.678243653183,train_only_label_free,False
rich,20260803,4,0.35033338367832934,1.0171925586199366,3133.2753682591733,train_only_label_free,True
rich,20260803,2,0.33292575039450806,1.3392388652057032,3630.060771954671,train_only_label_free,False
rich,20260803,3,0.32596755996625953,1.0889273689182495,3210.9022624089434,train_only_label_free,False
rich,20260803,5,0.30737334972175945,1.0211048124334936,3142.18020190494,train_only_label_free,False
rich,20260803,6,0.30163262160141285,1.1683160073194703,3049.410022013655,train_only_label_free,False
rich,20260803,7,0.28651057068802177,1.2215803731479595,2878.626094135358,train_only_label_free,False
rich,20260803,10,0.273290603428481,1.2237429073666277,2483.2095635671044,train_only_label_free,False
rich,20260803,11,0.27198041356958574,1.2108532174788857,2397.07990494261,train_only_label_free,False
rich,20260803,9,0.27081065792218056,1.2169038454827803,2576.627763729579,train_only_label_free,False
rich,20260803,12,0.2686438764356185,1.1815729342420687,2289.637431536956,train_only_label_free,False
rich,20260803,8,0.2670856357743817,1.2353886258394318,2704.373469604584,train_only_label_free,False
rich,20260804,4,0.3501809394232276,1.0483947093804535,3128.398726169575,train_only_label_free,True
rich,20260804,2,0.33356757846818674,1.3369947334392165,3636.488744697167,train_only_label_free,False
rich,20260804,3,0.32371238655917556,1.1301306194137375,3190.248929925483,train_only_label_free,False
rich,20260804,5,0.3088492727162713,1.0451102531061576,3126.275150140515,train_only_label_free,False
rich,20260804,6,0.3013811733539821,1.1766503642114345,3019.5069030146456,train_only_label_free,False
rich,20260804,7,0.28688880495460134,1.2277873002185988,2846.2824406162836,train_only_label_free,False
rich,20260804,11,0.2734560651690108,1.216127470780776,2380.5475513315687,train_only_label_free,False
rich,20260804,10,0.27228482052380365,1.2404544700750655,2446.4752147738964,train_only_label_free,False
rich,20260804,9,0.2699541541788895,1.2394440386962025,2532.7008209118,train_only_label_free,False
rich,20260804,8,0.26796689088730313,1.2385365016118937,2671.168492639247,train_only_label_free,False
rich,20260804,12,0.26557980111129326,1.2364372381299722,2278.373518431983,train_only_label_free,False
rich,20260805,4,0.35180422060882804,1.0409343741521127,3116.6237667913038,train_only_label_free,True
rich,20260805,2,0.33729676791255264,1.3326362032204813,3660.8034911773734,train_only_label_free,False
rich,20260805,3,0.32722183873302907,1.122427896680305,3187.9873984307014,train_only_label_free,False
rich,20260805,5,0.30854419304061004,1.0444899331275772,3113.1233386965373,train_only_label_free,False
rich,20260805,6,0.3019526940604849,1.1826489564379916,2998.0444583486196,train_only_label_free,False
rich,20260805,8,0.2914127561801616,1.1872544994981977,2656.3705045680144,train_only_label_free,False
rich,20260805,7,0.2868304240974052,1.2341843263601215,2829.413993308074,train_only_label_free,False
rich,20260805,10,0.27384273302132767,1.2117386317551404,2442.8399284012817,train_only_label_free,False
rich,20260805,11,0.27319153016077424,1.2200218918940549,2356.635937354035,train_only_label_free,False
rich,20260805,9,0.2712510671620054,1.2148745216904229,2527.7774223613196,train_only_label_free,False
rich,20260805,12,0.26697593622834953,1.2771065822446652,2226.8539362950232,train_only_label_free,False
